"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"36687","011NSETEST-Nov2036-FUT","011NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36690","021NSETEST-Nov2036-FUT","021NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36691","031NSETEST-Nov2036-FUT","031NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36694","041NSETEST-Nov2036-FUT","041NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36697","051NSETEST-Nov2036-FUT","051NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36700","061NSETEST-Nov2036-FUT","061NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36702","071NSETEST-Nov2036-FUT","071NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36709","081NSETEST-Nov2036-FUT","081NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36713","091NSETEST-Nov2036-FUT","091NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36715","101NSETEST-Nov2036-FUT","101NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36716","111NSETEST-Nov2036-FUT","111NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36718","121NSETEST-Nov2036-FUT","121NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36720","131NSETEST-Nov2036-FUT","131NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36721","141NSETEST-Nov2036-FUT","141NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36724","151NSETEST-Nov2036-FUT","151NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36725","161NSETEST-Nov2036-FUT","161NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"55317","BANKNIFTY-Jan2024-FUT","BANKNIFTY JAN FUT","","5.0000","15","FUTIDX","D","NSE","49404.4000","40421.7500","2024-01-25 14:00:00","","901"
"55318","NIFTY-Jan2024-FUT","NIFTY JAN FUT","","5.0000","50","FUTIDX","D","NSE","23313.7000","19074.8500","2024-01-25 14:00:00","","1801"
"55319","AARTIIND-Jan2024-FUT","AARTIIND JAN FUT","","5.0000","1000","FUTSTK","D","NSE","707.6500","579.0000","2024-01-25 14:00:00","","40001"
"55320","ABB-Jan2024-FUT","ABB JAN FUT","","5.0000","125","FUTSTK","D","NSE","5225.1000","4275.0500","2024-01-25 14:00:00","","5001"
"55321","ABBOTINDIA-Jan2024-FUT","ABBOTINDIA JAN FUT","","5.0000","40","FUTSTK","D","NSE","28049.1500","22949.3000","2024-01-25 14:00:00","","1201"
"55322","ABCAPITAL-Jan2024-FUT","ABCAPITAL JAN FUT","","5.0000","5400","FUTSTK","D","NSE","179.4000","146.7500","2024-01-25 14:00:00","","162001"
"55323","ABFRL-Jan2024-FUT","ABFRL JAN FUT","","5.0000","2600","FUTSTK","D","NSE","245.4500","200.8000","2024-01-25 14:00:00","","104001"
"55324","ACC-Jan2024-FUT","ACC JAN FUT","","5.0000","300","FUTSTK","D","NSE","2427.0000","1985.7500","2024-01-25 14:00:00","","12001"
"55325","ADANIENT-Jan2024-FUT","ADANIENT JAN FUT","","5.0000","300","FUTSTK","D","NSE","3180.5000","2602.2500","2024-01-25 14:00:00","","9001"
"55326","ADANIPORTS-Jan2024-FUT","ADANIPORTS JAN FUT","","5.0000","800","FUTSTK","D","NSE","1250.1000","1022.8500","2024-01-25 14:00:00","","24001"
"55327","ALKEM-Jan2024-FUT","ALKEM JAN FUT","","5.0000","200","FUTSTK","D","NSE","5280.1000","4320.0500","2024-01-25 14:00:00","","6001"
"55328","AMBUJACEM-Jan2024-FUT","AMBUJACEM JAN FUT","","5.0000","1800","FUTSTK","D","NSE","575.5500","470.9000","2024-01-25 14:00:00","","54001"
"55329","APOLLOHOSP-Jan2024-FUT","APOLLOHOSP JAN FUT","","5.0000","125","FUTSTK","D","NSE","6770.1500","5539.2000","2024-01-25 14:00:00","","5001"
"55330","APOLLOTYRE-Jan2024-FUT","APOLLOTYRE JAN FUT","","5.0000","1700","FUTSTK","D","NSE","560.1000","458.2500","2024-01-25 14:00:00","","51001"
"55331","ASHOKLEY-Jan2024-FUT","ASHOKLEY JAN FUT","","5.0000","5000","FUTSTK","D","NSE","186.9000","152.9500","2024-01-25 14:00:00","","150001"
"55332","ASIANPAINT-Jan2024-FUT","ASIANPAINT JAN FUT","","5.0000","200","FUTSTK","D","NSE","3347.2000","2738.6500","2024-01-25 14:00:00","","8001"
"55333","ASTRAL-Jan2024-FUT","ASTRAL JAN FUT","","5.0000","367","FUTSTK","D","NSE","1954.9000","1599.4500","2024-01-25 14:00:00","","11011"
"55334","ATUL-Jan2024-FUT","ATUL JAN FUT","","5.0000","75","FUTSTK","D","NSE","6779.9500","5547.2000","2024-01-25 14:00:00","","3751"
"55335","AUBANK-Jan2024-FUT","AUBANK JAN FUT","","5.0000","1000","FUTSTK","D","NSE","789.7500","646.2000","2024-01-25 14:00:00","","30001"
"55336","AUROPHARMA-Jan2024-FUT","AUROPHARMA JAN FUT","","5.0000","1100","FUTSTK","D","NSE","1245.4000","1018.9500","2024-01-25 14:00:00","","22001"
"55337","AXISBANK-Jan2024-FUT","AXISBANK JAN FUT","","5.0000","625","FUTSTK","D","NSE","1193.6500","976.6000","2024-01-25 14:00:00","","25001"
"55338","BAJAJ-AUTO-Jan2024-FUT","BAJAJ-AUTO JAN FUT","","5.0000","125","FUTSTK","D","NSE","7824.0500","6401.5000","2024-01-25 14:00:00","","3751"
"55339","BAJAJFINSV-Jan2024-FUT","BAJAJFINSV JAN FUT","","5.0000","500","FUTSTK","D","NSE","1734.5000","1419.1500","2024-01-25 14:00:00","","15001"
"55340","BAJFINANCE-Jan2024-FUT","BAJFINANCE JAN FUT","","5.0000","125","FUTSTK","D","NSE","7760.5000","6349.5000","2024-01-25 14:00:00","","3751"
"55341","BALKRISIND-Jan2024-FUT","BALKRISIND JAN FUT","","5.0000","300","FUTSTK","D","NSE","2881.6500","2357.7000","2024-01-25 14:00:00","","9001"
"55342","BALRAMCHIN-Jan2024-FUT","BALRAMCHIN JAN FUT","","5.0000","1600","FUTSTK","D","NSE","416.1500","340.5000","2024-01-25 14:00:00","","48001"
"55343","BANDHANBNK-Jan2024-FUT","BANDHANBNK JAN FUT","","5.0000","2500","FUTSTK","D","NSE","245.4500","200.8000","2024-01-25 14:00:00","","100001"
"55344","BANKBARODA-Jan2024-FUT","BANKBARODA JAN FUT","","5.0000","2925","FUTSTK","D","NSE","244.6500","200.2000","2024-01-25 14:00:00","","117001"
"55345","BATAINDIA-Jan2024-FUT","BATAINDIA JAN FUT","","5.0000","375","FUTSTK","D","NSE","1609.7000","1317.0500","2024-01-25 14:00:00","","15001"
"55346","BEL-Jan2024-FUT","BEL JAN FUT","","5.0000","5700","FUTSTK","D","NSE","205.3500","168.0000","2024-01-25 14:00:00","","171001"
"55347","BERGEPAINT-Jan2024-FUT","BERGEPAINT JAN FUT","","5.0000","1320","FUTSTK","D","NSE","597.1000","488.5500","2024-01-25 14:00:00","","39601"
"55348","BHARATFORG-Jan2024-FUT","BHARATFORG JAN FUT","","5.0000","500","FUTSTK","D","NSE","1310.2000","1071.9500","2024-01-25 14:00:00","","20001"
"55349","BHARTIARTL-Jan2024-FUT","BHARTIARTL JAN FUT","","5.0000","950","FUTSTK","D","NSE","1268.0000","1037.4500","2024-01-25 14:00:00","","28501"
"55350","BHEL-Jan2024-FUT","BHEL JAN FUT","","5.0000","5250","FUTSTK","D","NSE","222.5000","182.0500","2024-01-25 14:00:00","","157501"
"55351","BIOCON-Jan2024-FUT","BIOCON JAN FUT","","5.0000","2500","FUTSTK","D","NSE","289.5000","236.8500","2024-01-25 14:00:00","","100001"
