"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","63.7600","42.5100","","","-1"
"590097","KOTAKGOLD","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","64.0900","42.7200","","","-1"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","274.2700","182.8400","","","-1"
"533244","GOLDIETF","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","65.6100","43.7400","","","-1"
"533570","AXISGOLD","Axis Gold ETF","E","1.0000","1","ETF","E","BSE","63.9100","42.6000","","","-1"
"533172","IVZINGOLD","Invesco India Gold ETF","E","1.0000","1","ETF","E","BSE","6655.8000","4437.2000","","","-1"
"533719","LICMFGOLD","IDBI Gold ETF","E","1.0000","1","ETF","E","BSE","6868.4100","4578.9400","","","-1"
"533385","MON100","Motilal Oswal Nasdaq ETF","E","1.0000","1","ETF","E","BSE","168.6300","112.4200","","","-1"
"590101","GOLDSHARE","UTI Gold ETF","E","1.0000","1","ETF","E","BSE","63.9700","42.6400","","","-1"
"533230","HDFCGOLD","HDFCGOLD","E","1.0000","1","ETF","E","BSE","65.5900","43.7200","","","-1"
"533408","BSLGOLDETF","Aditya Birla Sun Life Gold ETF","E","1.0000","1","ETF","E","BSE","67.4100","44.9400","","","-1"
"590099","QGOLDHALF","Quantum Gold ETF","E","1.0000","1","ETF","E","BSE","63.6700","42.4400","","","-1"
"590098","SBIGETS","SBI Gold ETF","E","1.0000","1","ETF","E","BSE","65.6100","43.7400","","","-1"
"543452","SILVERIETF","ICICI Prudential Silver ETF","E","1.0000","1","ETF","E","BSE","86.6600","57.7700","","","-1"
"543471","SILVER","Aditya Birla Sun Life Mut","E","1.0000","1","ETF","E","BSE","86.7000","57.8000","","","-1"
"543572","DSPSILVETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","83.9200","55.9500","","","-1"
"543592","HDFCSILVER","HDFC Mutual Fund","E","1.0000","1","ETF","E","BSE","83.2200","55.4800","","","-1"
"543781","GOLDETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","74.7100","49.8000","","","-1"
"543900","SILVERETF","UTI Mutual Fund","E","1.0000","1","ETF","E","BSE","84.6300","56.4200","","","-1"
"543903","DSPGOLDETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","74.7200","49.8100","","","-1"
"543922","SILVRETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","84.9400","56.6300","","","-1"
"544043","BBNPPGOLD","BARODA BNP PARIBAS MUTUAL","E","1.0000","1","ETF","E","BSE","74.8200","49.8800","","","-1"
"530043","ACKNIT","Acknit Industries ","X","5.0000","1","ES","E","BSE","346.5500","231.0500","","","-1"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","579.1500","386.1500","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","515.4500","343.6500","","","-1"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3903.4500","2602.3500","","","-1"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","24.2300","19.8300","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","23.0300","20.8500","","","-1"
"537392","TAAZAINT","Taaza International","XT","1.0000","1","ES","E","BSE","7.8400","7.1000","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","46.5300","31.0300","","","-1"
"532392","CREATIVEYE","Creative Eye","T","1.0000","1","ES","E","BSE","5.5600","5.0400","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","366.5000","244.4000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","53.9800","36.0000","","","-1"
"531456","MINAXI","Minaxi Textiles","XT","1.0000","1","ES","E","BSE","3.7600","3.4200","","","-1"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","3.5300","3.2100","","","-1"
"524711","VISTAPH","Vista Pharmaceuticals","Z","1.0000","1","ES","E","BSE","16.4400","14.8800","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2699.4500","2208.6500","","","-1"
"521244","MKPMOB","Chitradurga Spintex","XT","5.0000","1","ES","E","BSE","126.7000","121.8000","","","-1"
"509069","INFOMEDIA","Infomedia Press","T","1.0000","1","ES","E","BSE","7.6500","6.9300","","","-1"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","923.9000","756.0000","","","-1"
"542679","DEL","Dhanashree Electronics Li","XT","1.0000","1","ES","E","BSE","65.6000","63.0400","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","330.4000","299.0000","","","-1"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","645.8000","430.6000","","","-1"
"532994","ARCHIDPLY","Archidply Industries","B","1.0000","1","ES","E","BSE","94.0100","85.0700","","","-1"
"539533","ELITECON","Elitecon International","XT","1.0000","1","ES","E","BSE","11.0200","9.9800","","","-1"
"532505","UCOBANK","UCO Bank","A","1.0000","1","ES","E","BSE","60.8100","40.5500","","","-1"
"517273","S&SPOWER","S&S Power Switchgear","T","5.0000","1","ES","E","BSE","196.0500","188.4500","","","-1"
"531237","DHRUVCA","Dhruva Capital Services L","XT","5.0000","1","ES","E","BSE","338.6000","325.4000","","","-1"
