"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries ","X","5.0000","1","ES","E","BSE","346.5500","231.0500","","","-1"
"4732","SKMEGGPROD","Skm Egg Prod Export","EQ","5.0000","1","ES","E","NSE","385.2500","348.6000","","","272515"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","579.1500","386.1500","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","515.4500","343.6500","","","-1"
"21551","SMSLIFE","SMS Lifesciences","EQ","5.0000","1","ES","E","NSE","691.6500","461.1500","","","98861"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","467.4000","311.6000","","","256656"
"3570","UCAL","UCAL LIMITED","EQ","5.0000","1","ES","E","NSE","177.5500","145.3000","","","619380"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3903.4500","2602.3500","","","-1"
"9889","SMARTLINK","Smartlink Holdings","EQ","5.0000","1","ES","E","NSE","217.4000","145.0000","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","24.2300","19.8300","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","23.0300","20.8500","","","-1"
"537392","TAAZAINT","Taaza International","XT","1.0000","1","ES","E","BSE","7.8400","7.1000","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","46.5300","31.0300","","","-1"
"532392","CREATIVEYE","Creative Eye","T","1.0000","1","ES","E","BSE","5.5600","5.0400","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","366.5000","244.4000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","53.9800","36.0000","","","-1"
"531456","MINAXI","Minaxi Textiles","XT","1.0000","1","ES","E","BSE","3.7600","3.4200","","","-1"
