"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"19084","ITBEES","Nippon India Nifty IT ETF","EQ","1.0000","1","ETF","E","NSE","46.4500","30.9600","","","2582874"
"11319","LICNETFN50","LIC Nifty ETF","EQ","1.0000","1","ETF","E","NSE","283.6600","189.1100","","","423008"
"6353","NIFTYETF","Mirae Asset Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","274.7700","183.1800","","","436638"
"18284","HNGSNGBEES","Nippon India Hang Sen ETF","EQ","1.0000","1","ETF","E","NSE","274.2700","182.8400","","","382971"
"22243","EBBETF0425","Edelweiss BHARAT Bond ETF","EQ","1.0000","1","ETF","E","NSE","1417.9500","945.3000","","","84599"
"10576","NIFTYBEES","Nippon India Nifty Bees ETF","EQ","1.0000","1","ETF","E","NSE","287.7000","191.8000","","","416557"
"17700","LTGILTBEES","Nippon Long Term Gilt ETF","EQ","1.0000","1","ETF","E","NSE","30.1900","20.1200","","","3974267"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","63.7600","42.5100","","","-1"
"11441","LICNETFSEN","LIC Sensex ETF","EQ","1.0000","1","ETF","E","NSE","944.2200","629.4800","","","127087"
"19289","MOM50","Motilal Oswal M50 ETF","EQ","1.0000","1","ETF","E","NSE","264.5000","176.3300","","","58032"
"11457","KOTAKNV20","Kotak NV 20 ETF","EQ","1.0000","1","ETF","E","NSE","161.8600","107.9100","","","136725"
"7361","SETFNIFBK","SBI Nifty Bank ETF","EQ","1.0000","1","ETF","E","NSE","560.1300","373.4200","","","185402"
"2636","DIVOPPBEES","Nip ETF Div Opportunities","EQ","1.0000","1","ETF","E","NSE","85.9400","57.2900","","","183531"
"21254","LOWVOLIETF","ICICI Pru Nifty Low 30 ETF","EQ","1.0000","1","ETF","E","NSE","226.1200","150.7500","","","530546"
"1927","LIQUIDETF","DSP Liquid ETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","99993"
"22440","UTIBANKETF","UTI Bank ETF","EQ","1.0000","1","ETF","E","NSE","56.3200","37.5500","","","2130339"
"19679","GOLDIETF","ICICI Prudential Gold ETF","EQ","1.0000","1","ETF","E","NSE","65.6100","43.7400","","","1828581"
"15229","LICNFNHGP","LIC Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","283.4200","188.9500","","","423377"
"590097","KOTAKGOLD","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","64.0900","42.7200","","","-1"
"29577","NIF100BEES","Nippon India Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","276.0400","184.0300","","","300408"
"25640","LICMFGOLD","IDBI Gold ETF","EQ","5.0000","1","ETF","E","NSE","6868.4000","4579.0000","","","6441"
"17152","MIDCAPIETF","ICICI Pru Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","218.1100","145.4000","","","434852"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","274.2700","182.8400","","","-1"
"17181","NEXT50","Mirae Asset Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","674.0500","449.3600","","","94386"
"29553","NIFTYIETF","ICICI Prudential Nifty India","EQ","1.0000","1","ETF","E","NSE","286.1500","190.7600","","","419292"
"11591","HDFCNIFTY","HDFCNIFTY","EQ","1.0000","1","ETF","E","NSE","284.7000","189.8000","","","421431"
"18292","IVZINGOLD","Invesco India Gold ETF","EQ","5.0000","1","ETF","E","NSE","6655.8000","4437.2000","","","5858"
"17702","MIDSELIETF","ICICI Prudential Midcap ETF","EQ","1.0000","1","ETF","E","NSE","171.6000","114.4000","","","95957"
"17044","SHARIABEES","Nippon India Shariah ETF","EQ","1.0000","1","ETF","E","NSE","597.4300","398.2800","","","10220"
"12978","NPBET","Tata Private Bank ETF","EQ","1.0000","1","ETF","E","NSE","289.5400","193.0300","","","11078"
"5851","KOTAKBKETF","Kotak Banking ETF","EQ","1.0000","1","ETF","E","NSE","565.7700","377.1800","","","212056"
"7218","SBIETFQLTY","SBI Quality ETF","EQ","1.0000","1","ETF","E","NSE","234.3900","156.2600","","","67921"
"533244","GOLDIETF","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","65.6100","43.7400","","","-1"
"21252","AXISNIFTY","Axis Nifty ETF","EQ","1.0000","1","ETF","E","NSE","279.6700","186.4400","","","429060"
