"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries ","X","5.0000","1","ES","E","BSE","337.6500","225.1500","","","-1"
"4732","SKMEGGPROD","Skm Egg Prod Export","EQ","5.0000","1","ES","E","NSE","366.0000","331.2000","","","286839"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","566.6000","377.8000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","522.2000","348.2000","","","-1"
"21551","SMSLIFE","SMS Lifesciences","EQ","5.0000","1","ES","E","NSE","676.8500","451.2500","","","98861"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","466.5500","311.0500","","","257072"
"3570","UCAL","UCAL LIMITED","EQ","5.0000","1","ES","E","NSE","174.2500","142.6000","","","631100"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3923.6000","2615.8000","","","-1"
"9889","SMARTLINK","Smartlink Holdings","EQ","5.0000","1","ES","E","NSE","214.1000","142.8000","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","24.4700","20.0300","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","22.9800","20.8000","","","-1"
"537392","TAAZAINT","Taaza International","XT","1.0000","1","ES","E","BSE","7.8500","7.1100","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","44.8800","29.9200","","","-1"
"532392","CREATIVEYE","Creative Eye","T","1.0000","1","ES","E","BSE","5.6700","5.1300","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","393.7000","262.5000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","51.3400","34.2400","","","-1"
"531456","MINAXI","Minaxi Textiles","XT","1.0000","1","ES","E","BSE","3.5900","3.2500","","","-1"
"13111","ORIENTCER","Orient Abrasives","EQ","5.0000","1","ES","E","NSE","59.1000","53.5000","","","1776163"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","3.5300","3.2100","","","-1"
