"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"36687","011NSETEST-Nov2036-FUT","011NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36690","021NSETEST-Nov2036-FUT","021NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36691","031NSETEST-Nov2036-FUT","031NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36694","041NSETEST-Nov2036-FUT","041NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36697","051NSETEST-Nov2036-FUT","051NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36700","061NSETEST-Nov2036-FUT","061NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36702","071NSETEST-Nov2036-FUT","071NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36709","081NSETEST-Nov2036-FUT","081NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36713","091NSETEST-Nov2036-FUT","091NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36715","101NSETEST-Nov2036-FUT","101NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36716","111NSETEST-Nov2036-FUT","111NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36718","121NSETEST-Nov2036-FUT","121NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36720","131NSETEST-Nov2036-FUT","131NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36721","141NSETEST-Nov2036-FUT","141NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36724","151NSETEST-Nov2036-FUT","151NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36725","161NSETEST-Nov2036-FUT","161NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"37271","MIDCPNIFTY-Feb2024-FUT","MIDCPNIFTY FEB FUT","","5.0000","75","FUTIDX","D","NSE","11787.4000","9644.2500","2024-02-26 14:00:00","","4201"
"35086","FINNIFTY-Feb2024-FUT","FINNIFTY FEB FUT","","5.0000","40","FUTIDX","D","NSE","22416.7500","18341.0000","2024-02-27 14:00:00","","1801"
"71440","BANKNIFTY-Feb2024-FUT","BANKNIFTY FEB FUT","","5.0000","15","FUTIDX","D","NSE","50644.4500","41436.4000","2024-02-29 14:00:00","","901"
"71441","NIFTY-Feb2024-FUT","NIFTY FEB FUT","","5.0000","50","FUTIDX","D","NSE","23983.8000","19623.1500","2024-02-29 14:00:00","","1801"
"71442","AARTIIND-Feb2024-FUT","AARTIIND FEB FUT","","5.0000","1000","FUTSTK","D","NSE","709.2000","580.2500","2024-02-29 14:00:00","","40001"
"71443","ABB-Feb2024-FUT","ABB FEB FUT","","5.0000","125","FUTSTK","D","NSE","4827.1000","3949.4500","2024-02-29 14:00:00","","5001"
"71444","ABBOTINDIA-Feb2024-FUT","ABBOTINDIA FEB FUT","","5.0000","40","FUTSTK","D","NSE","31064.9000","25416.7500","2024-02-29 14:00:00","","1201"
"71445","ABCAPITAL-Feb2024-FUT","ABCAPITAL FEB FUT","","5.0000","5400","FUTSTK","D","NSE","196.8000","161.0500","2024-02-29 14:00:00","","162001"
"71446","ABFRL-Feb2024-FUT","ABFRL FEB FUT","","5.0000","2600","FUTSTK","D","NSE","274.9500","225.0000","2024-02-29 14:00:00","","104001"
"71448","ACC-Feb2024-FUT","ACC FEB FUT","","5.0000","300","FUTSTK","D","NSE","2744.2000","2245.2500","2024-02-29 14:00:00","","9001"
"71449","ADANIENT-Feb2024-FUT","ADANIENT FEB FUT","","5.0000","300","FUTSTK","D","NSE","3503.6000","2866.5500","2024-02-29 14:00:00","","9001"
"71451","ADANIPORTS-Feb2024-FUT","ADANIPORTS FEB FUT","","5.0000","800","FUTSTK","D","NSE","1389.5500","1136.9000","2024-02-29 14:00:00","","24001"
"71452","ALKEM-Feb2024-FUT","ALKEM FEB FUT","","5.0000","200","FUTSTK","D","NSE","5399.4500","4417.7000","2024-02-29 14:00:00","","6001"
"71453","AMBUJACEM-Feb2024-FUT","AMBUJACEM FEB FUT","","5.0000","1800","FUTSTK","D","NSE","613.1000","501.6500","2024-02-29 14:00:00","","54001"
"71454","APOLLOHOSP-Feb2024-FUT","APOLLOHOSP FEB FUT","","5.0000","125","FUTSTK","D","NSE","6875.9500","5625.8000","2024-02-29 14:00:00","","3751"
"71455","APOLLOTYRE-Feb2024-FUT","APOLLOTYRE FEB FUT","","5.0000","1700","FUTSTK","D","NSE","602.1000","492.6500","2024-02-29 14:00:00","","51001"
"71456","ASHOKLEY-Feb2024-FUT","ASHOKLEY FEB FUT","","5.0000","5000","FUTSTK","D","NSE","198.3500","162.3000","2024-02-29 14:00:00","","150001"
"71457","ASIANPAINT-Feb2024-FUT","ASIANPAINT FEB FUT","","5.0000","200","FUTSTK","D","NSE","3219.1000","2633.8500","2024-02-29 14:00:00","","8001"
"71458","ASTRAL-Feb2024-FUT","ASTRAL FEB FUT","","5.0000","367","FUTSTK","D","NSE","2068.3000","1692.2500","2024-02-29 14:00:00","","11011"
"71459","ATUL-Feb2024-FUT","ATUL FEB FUT","","5.0000","75","FUTSTK","D","NSE","6921.9500","5663.4000","2024-02-29 14:00:00","","3751"
"71460","AUBANK-Feb2024-FUT","AUBANK FEB FUT","","5.0000","1000","FUTSTK","D","NSE","687.3500","562.4000","2024-02-29 14:00:00","","30001"
"71461","AUROPHARMA-Feb2024-FUT","AUROPHARMA FEB FUT","","5.0000","1100","FUTSTK","D","NSE","1126.4000","921.6000","2024-02-29 14:00:00","","22001"
"71462","AXISBANK-Feb2024-FUT","AXISBANK FEB FUT","","5.0000","625","FUTSTK","D","NSE","1174.1500","960.7000","2024-02-29 14:00:00","","25001"
"71463","BAJAJ-AUTO-Feb2024-FUT","BAJAJ-AUTO FEB FUT","","5.0000","125","FUTSTK","D","NSE","8474.3000","6933.5500","2024-02-29 14:00:00","","3751"
"71464","BAJAJFINSV-Feb2024-FUT","BAJAJFINSV FEB FUT","","5.0000","500","FUTSTK","D","NSE","1780.7500","1457.0000","2024-02-29 14:00:00","","15001"
"71465","BAJFINANCE-Feb2024-FUT","BAJFINANCE FEB FUT","","5.0000","125","FUTSTK","D","NSE","7309.4000","5980.4500","2024-02-29 14:00:00","","3751"
"71466","BALKRISIND-Feb2024-FUT","BALKRISIND FEB FUT","","5.0000","300","FUTSTK","D","NSE","2664.7000","2180.2500","2024-02-29 14:00:00","","9001"
"71467","BALRAMCHIN-Feb2024-FUT","BALRAMCHIN FEB FUT","","5.0000","1600","FUTSTK","D","NSE","439.8500","359.9000","2024-02-29 14:00:00","","48001"
"71468","BANDHANBNK-Feb2024-FUT","BANDHANBNK FEB FUT","","5.0000","2500","FUTSTK","D","NSE","245.7500","201.1000","2024-02-29 14:00:00","","100001"
"71469","BANKBARODA-Feb2024-FUT","BANKBARODA FEB FUT","","5.0000","2925","FUTSTK","D","NSE","284.1500","232.5000","2024-02-29 14:00:00","","87751"
"71470","BATAINDIA-Feb2024-FUT","BATAINDIA FEB FUT","","5.0000","375","FUTSTK","D","NSE","1577.8500","1291.0000","2024-02-29 14:00:00","","15001"
"71482","BEL-Feb2024-FUT","BEL FEB FUT","","5.0000","5700","FUTSTK","D","NSE","199.4500","163.2000","2024-02-29 14:00:00","","114001"
"71483","BERGEPAINT-Feb2024-FUT","BERGEPAINT FEB FUT","","5.0000","1320","FUTSTK","D","NSE","616.4000","504.3500","2024-02-29 14:00:00","","39601"
"71486","BHARATFORG-Feb2024-FUT","BHARATFORG FEB FUT","","5.0000","500","FUTSTK","D","NSE","1407.2000","1151.3500","2024-02-29 14:00:00","","20001"
"71487","BHARTIARTL-Feb2024-FUT","BHARTIARTL FEB FUT","","5.0000","950","FUTSTK","D","NSE","1232.2500","1008.2000","2024-02-29 14:00:00","","19001"
