"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","63.4200","42.2800","","","-1"
"590097","KOTAKGOLD","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","63.7300","42.4800","","","-1"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","270.0400","180.0300","","","-1"
"533244","GOLDIETF","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","65.2500","43.5000","","","-1"
"533570","AXISGOLD","Axis Gold ETF","E","1.0000","1","ETF","E","BSE","63.8700","42.5800","","","-1"
"533172","IVZINGOLD","Invesco India Gold ETF","E","1.0000","1","ETF","E","BSE","6624.0900","4416.0600","","","-1"
"533719","LICMFGOLD","IDBI Gold ETF","E","1.0000","1","ETF","E","BSE","6864.2100","4576.1400","","","-1"
"533385","MON100","Motilal Oswal Nasdaq ETF","E","1.0000","1","ETF","E","BSE","168.4800","112.3200","","","-1"
"590101","GOLDSHARE","UTI Gold ETF","E","1.0000","1","ETF","E","BSE","63.9200","42.6100","","","-1"
"533230","HDFCGOLD","HDFCGOLD","E","1.0000","1","ETF","E","BSE","65.2500","43.5000","","","-1"
"533408","BSLGOLDETF","Aditya Birla Sun Life Gold ETF","E","1.0000","1","ETF","E","BSE","67.0400","44.6900","","","-1"
"590099","QGOLDHALF","Quantum Gold ETF","E","1.0000","1","ETF","E","BSE","62.9800","41.9900","","","-1"
"590098","SBIGETS","SBI Gold ETF","E","1.0000","1","ETF","E","BSE","65.2500","43.5000","","","-1"
"543452","SILVERIETF","ICICI Prudential Silver ETF","E","1.0000","1","ETF","E","BSE","87.2000","58.1300","","","-1"
"543471","SILVER","Aditya Birla Sun Life Mut","E","1.0000","1","ETF","E","BSE","87.2400","58.1600","","","-1"
"543572","DSPSILVETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","84.4500","56.3000","","","-1"
"543592","HDFCSILVER","HDFC Mutual Fund","E","1.0000","1","ETF","E","BSE","83.3000","55.5300","","","-1"
"543781","GOLDETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","74.3000","49.5300","","","-1"
"543900","SILVERETF","UTI Mutual Fund","E","1.0000","1","ETF","E","BSE","85.1800","56.7900","","","-1"
"543903","DSPGOLDETF","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","74.3100","49.5400","","","-1"
"543922","SILVRETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","85.4600","56.9700","","","-1"
"544043","BBNPPGOLD","BARODA BNP PARIBAS MUTUAL","E","1.0000","1","ETF","E","BSE","74.4100","49.6000","","","-1"
"530043","ACKNIT","Acknit Industries ","X","5.0000","1","ES","E","BSE","330.0000","220.0000","","","-1"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","495.6000","330.4000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","502.2500","334.8500","","","-1"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3630.9000","2420.6000","","","-1"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","21.8000","17.8400","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","22.5700","20.4300","","","-1"
"537392","TAAZAINT","Taaza International","XT","1.0000","1","ES","E","BSE","7.7200","7.0000","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","36.9400","24.6400","","","-1"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","7.2000","4.8000","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","342.7000","228.5000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","50.5300","33.6900","","","-1"
"531456","MINAXI","Minaxi Textiles","X","1.0000","1","ES","E","BSE","3.7900","3.1100","","","-1"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","3.5300","3.2100","","","-1"
"524711","VISTAPH","Vista Pharmaceuticals","Z","1.0000","1","ES","E","BSE","16.2200","14.6800","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2612.6500","2137.6500","","","-1"
"521244","CHITRTX","Chitradurga Spintex","XT","1.0000","1","ES","E","BSE","110.4100","106.0900","","","-1"
"509069","INFOMEDIA","Infomedia Press","T","1.0000","1","ES","E","BSE","7.1400","6.4600","","","-1"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","714.3500","476.2500","","","-1"
"542679","DEL","Dhanashree Electronics Li","XT","1.0000","1","ES","E","BSE","65.3900","59.1700","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","287.3500","260.0500","","","-1"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","588.0500","392.0500","","","-1"
"532994","ARCHIDPLY","Archidply Industries","T","1.0000","1","ES","E","BSE","98.9100","89.4900","","","-1"
"539533","ELITECON","Elitecon International","XT","1.0000","1","ES","E","BSE","11.0200","9.9800","","","-1"
"532505","UCOBANK","UCO Bank","A","1.0000","1","ES","E","BSE","50.1400","33.4400","","","-1"
"517273","S&SPOWER","S&S Power Switchgear","T","5.0000","1","ES","E","BSE","177.8500","170.9500","","","-1"
"531237","DHRUVCA","Dhruva Capital Services L","XT","5.0000","1","ES","E","BSE","294.9500","283.4500","","","-1"
"539894","MADHAVIPL","Madhav Infra Projects Lim","XT","1.0000","1","ES","E","BSE","14.2600","12.9200","","","-1"
"530065","LORDSHOTL","Lords Ishwar Hotels Limit","XT","1.0000","1","ES","E","BSE","19.9400","19.1600","","","-1"
"531778","KACHCHH","Kachchh Minerals","XT","1.0000","1","ES","E","BSE","29.9100","27.0700","","","-1"
"530581","EKAMLEA","Ekam Leasing & Finance Co","X","1.0000","1","ES","E","BSE","6.1400","5.5600","","","-1"
"523260","PEARLPOLY","Pearl Polymers","B","1.0000","1","ES","E","BSE","37.0900","24.7300","","","-1"
"523628","PODDARHOUS","Poddar Housing And Develo","Z","5.0000","1","ES","E","BSE","116.3000","111.8000","","","-1"
"526301","MEDINOV","Medinova Diagnostic Servi","XT","1.0000","1","ES","E","BSE","47.2600","45.4200","","","-1"
"533287","ZEELEARN","Zee Learn","T","1.0000","1","ES","E","BSE","7.6900","7.3900","","","-1"
"500096","DABUR","Dabur India","A","5.0000","1","ES","E","BSE","577.3500","472.4500","","","-1"
"530259","INTSTOIL","Inter State Oil Carrier L","X","1.0000","1","ES","E","BSE","55.3900","45.3300","","","-1"
"532553","WELENT","Welspun Enterprises Limte","A","5.0000","1","ES","E","BSE","388.9500","259.3500","","","-1"
"506734","MYSORPETRO","Mysore Petro Chemicals","X","5.0000","1","ES","E","BSE","222.6500","148.4500","","","-1"
"506520","JAYCH","Jayshree Chemicals","XT","1.0000","1","ES","E","BSE","11.5200","11.0800","","","-1"
