"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries ","X","5.0000","1","ES","E","BSE","330.0000","220.0000","","","-1"
"4732","SKMEGGPROD","Skm Egg Prod Export","EQ","5.0000","1","ES","E","NSE","392.2500","354.9500","","","267644"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","495.6000","330.4000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","502.2500","334.8500","","","-1"
"21551","SMSLIFE","SMS Lifesciences","EQ","5.0000","1","ES","E","NSE","684.4500","456.3500","","","98861"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","464.4500","309.6500","","","258318"
"3570","UCAL","UCAL LIMITED","EQ","5.0000","1","ES","E","NSE","169.4500","138.6500","","","649123"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","3630.9000","2420.6000","","","-1"
"9889","SMARTLINK","Smartlink Holdings","EQ","5.0000","1","ES","E","NSE","212.4500","141.6500","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","21.8000","17.8400","","","-1"
"509835","PREMSYN","Premier Synthetics","XT","1.0000","1","ES","E","BSE","22.5700","20.4300","","","-1"
"537392","TAAZAINT","Taaza International","XT","1.0000","1","ES","E","BSE","7.7200","7.0000","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","36.9400","24.6400","","","-1"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","7.2000","4.8000","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","342.7000","228.5000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","99.7500","90.2500","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","50.5300","33.6900","","","-1"
"531456","MINAXI","Minaxi Textiles","X","1.0000","1","ES","E","BSE","3.7900","3.1100","","","-1"
"13111","ORIENTCER","Orient Abrasives","EQ","5.0000","1","ES","E","NSE","54.4000","49.2500","","","1928583"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","3.5300","3.2100","","","-1"
"13577","VOLTAMP","Voltamp Transformers","EQ","5.0000","1","ES","E","NSE","8419.1000","5612.8000","","","14244"
"7306","VISESHINFO","Visesh Infotecnics","BE","5.0000","1","ES","E","NSE","0.7500","0.6500","","","123424078"
"524711","VISTAPH","Vista Pharmaceuticals","Z","1.0000","1","ES","E","BSE","16.2200","14.6800","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2612.6500","2137.6500","","","-1"
"6407","LAMBODHARA","Lambodhara Textiles","EQ","5.0000","1","ES","E","NSE","190.7000","127.2000","","","339347"
"4306","SHRIRAMFIN","Shriram Finance Limited","EQ","5.0000","1","ES","E","NSE","2507.4500","2051.5500","","","-1"
"521244","CHITRTX","Chitradurga Spintex","XT","1.0000","1","ES","E","BSE","110.4100","106.0900","","","-1"
"14413","PAGEIND","Page Industries","EQ","5.0000","1","ES","E","NSE","40301.9500","32974.3500","","","2721"
"509069","INFOMEDIA","Infomedia Press","T","1.0000","1","ES","E","BSE","7.1400","6.4600","","","-1"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","714.3500","476.2500","","","-1"
"542679","DEL","Dhanashree Electronics Li","XT","1.0000","1","ES","E","BSE","65.3900","59.1700","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","287.3500","260.0500","","","-1"
"6600","GENUSPAPER","Genus P&B","EQ","5.0000","1","ES","E","NSE","23.8000","15.9000","","","5037611"
